ID.WHO.city,Region,iso3,Country,City,PM10_mean,PM10_year,PM10_stations,PM10_note,PM25_mean,PM25_year,PM25_stations,PM25_note,PM10_temporal_coverage,PM25_temporal_coverage,reference,countrycode,PM10_annually_rep,PM25_annually_rep,PM10_more_75,PM25_more_75,row_id,latitude,longitude
1,Emr LMI,AFG,Afghanistan,Kabul,260,2009,"1 station, 1 station: urban",measured data,86,2009,"1 station, 1 station: urban",measured data, <75%, <75%,"Magnusson et al., Broad Exposure Screening of Air Pollutants in the Occupational Environment of Swedish Soldiers Deployed in Afghanistan; MILITARY MEDICINE, 177, 3:318, 2012",AF,FALSE,FALSE,FALSE,FALSE,1,34.5197058,69.1624302
2,Emr LMI,AFG,Afghanistan,Mazar-e Sharif,334,2009,"1 station, 1 station: urban outskirts",measured data,68,2009,"1 station, 1 station: urban outskirts",measured data, <75%, <75%,"Magnusson et al., Broad Exposure Screening of Air Pollutants in the Occupational Environment of Swedish Soldiers Deployed in Afghanistan; MILITARY MEDICINE, 177, 3:318, 2012",AF,FALSE,FALSE,FALSE,FALSE,2,36.7113366,67.1087511
3,Eur LMI,ALB,Albania,TIRANA,31.61542142,2013,"1 station, traffic, urban",measured data,16.06236628,2013,"1 station, traffic, urban",measured data, >75%, >75%,"European Environment Agency, Air quality e-reporting database",AL,FALSE,FALSE,TRUE,TRUE,3,41.3158857,19.9009122
4,Eur HI,AND,Andorra,Escaldes-Engordany,18,2014,"1 station, urban",measured data,11,2014,"1 station, urban",measured data, NA, NA,Qualitat de l'aire a Andorra,AD,FALSE,FALSE,FALSE,FALSE,4,42.4865768,1.6072646
5,Amr HI,ARG,Argentina,Buenos Aires,26.1516666666667,2015,"3 stations, residencial commercial",measured data,14.1595930493704,2015,-,converted from PM10, >75%, NA,"Agencia de Proteccion Ambiental, Buenos Aires",AR,FALSE,FALSE,TRUE,FALSE,5,-34.6143904,-58.4460878
6,Wpr HI,AUS,Australia,Adelaide,16.6571428571429,2014,"7 stations, Residential (outer urban) and residential/light industry",measured data,7.1,2014,"2 stations, Residential (outer urban)",measured data, NA, NA,Environment Protection Authority,AU,FALSE,FALSE,FALSE,FALSE,6,-34.9274283,138.599899
7,Wpr HI,AUS,Australia,Albany,15.999,2014,"1 station, rural (small town)",measured data,6.86359805584021,2014,-,converted from PM10, NA, NA,http://www.der.wa.gov.au/your-environment/air,AU,FALSE,FALSE,FALSE,FALSE,7,-35.0247821,117.883608
8,Wpr HI,AUS,Australia,Albury,15.9,2014,"1 station, Rural (small town)",measured data,6.82112688842173,2014,-,converted from PM10, NA, NA,http://www.environment.nsw.gov.au/AQMS/,AU,FALSE,FALSE,FALSE,FALSE,8,-36.0148061,146.9821715
9,Wpr HI,AUS,Australia,Ayr,19.9,2014,"1 station, Rural (small town)",measured data,8.53713365280456,2014,-,converted from PM10, NA, NA,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/network-stations/,AU,FALSE,FALSE,FALSE,FALSE,9,-19.5758596,147.4044626
10,Wpr HI,AUS,Australia,Bathurst,14.6,2014,"1 station, Rural (small town)",measured data,6.26342468999731,2014,-,converted from PM10, NA, NA,http://www.environment.nsw.gov.au/AQMS/,AU,FALSE,FALSE,FALSE,FALSE,10,-33.4180907,149.5785926
